Ahmedabad	27.729897931241165,55.62838814031063
Altenburg	11.43016922235252,71.63062848887309
Aurangabad	26.543639675837404,59.00795769119834
BELLA BELLA CAMPBELL	7.600480120421551,89.0492499909462
Berlin	9.855293170178777,75.98866903959865
Bhopal	25.503742380991614,56.29068040179062
CLINTON	1.7286987118004677,74.55528318132868
DEASE LAKE	-0.2089930423917471,72.64704227236474
Dresden	9.629043785650877,75.00218489017777
ESTEVAN POINT CS BC	9.250132167735957,89.84354751892707
Erfurt	9.022982968105525,77.67289198810067
Guangzhou	22.784180558636507,69.80422908103667
Heringsdorf	11.120468764246757,72.13584763017771
Mumbai	28.09067345730241,66.80009767596773
Newcastle	17.984410792663773,74.54468064903212
Rajkot	27.40764570840244,56.184040202659695
Shenzhen	23.302366414485256,72.1334859319599
Taree	18.06847520289186,77.54468577331512
Tennant Creek	26.113448895366435,36.97375935042524
Tianjin	12.57234379490617,58.59130587448421
WANGARATTA	14.746770525411335,69.66071950137768
WHISTLER	7.696511193377228,74.92153444555443
Whyalla	17.894954786316358,63.1636080356216
Xiamen	21.84399023950775,73.67979271104144
ZBAA	12.027014592012673,54.569330384141516
