ANCHORAGE INTL ARPT	-7.758212988522447;-6.079891475306702;-3.109225305583093;3.925080154781645;9.708143201632367;14.040244089948079;16.231975242195922;14.845637607437286;10.24490572878897;4.201169120164338;-3.787174283501175;-5.585419309372805,77.21446462298395;77.97803240012574;69.06442682523922;64.68414409434322;63.783478018920725;65.58678262540847;71.46696447793339;73.6704437817929;77.32290971718666;76.58516090380002;79.29976452362507;80.10065821000724
Aguascalientes	14.136465340442985;16.400647168694185;18.62914247160642;20.64965076939867;22.65322508783964;21.567897124786185;19.6510717202641;20.1072900578508;19.504117069840866;18.692307068350786;16.710572433796095;14.621583799941773,41.098778059885056;36.31846976878326;33.17913306475068;25.746729419040314;30.49231273007595;50.1478544041974;62.23843660468245;62.42767596146178;64.67767359816528;57.45315308520205;50.7965773428448;46.15680055282097
Alice Springs	29.580855199222547;29.475377758452005;26.4125;21.404951652321753;15.703390693412077;12.166012801982243;13.227100534239922;15.114157859659144;19.615006268685505;24.678709321566465;26.727649088220797;29.112484310128416,39.80552672497532;29.90577454071076;37.18093388429723;34.762975241738665;45.29064657366867;53.29426388602105;41.63138902379797;33.86024564410196;29.78849165782619;28.58922596065436;33.7974608181368;34.195573042386584
Bhubaneswar	21.669758115052012;25.03316225819187;28.481515926528715;30.530091720065336;30.932520625538725;29.896204680489873;28.82435344827586;28.475482556048437;28.332189682636933;27.419339566812642;24.49471915506481;21.354239663629993,71.30203659606379;67.43991972627933;72.14543245756803;72.66161578087826;74.96891023273004;82.55023766218092;87.78290469348934;88.92881429085557;88.90200220561472;84.59180968162022;75.98673667786882;73.17198668535319
Cairns	27.246009472022454;27.38556822650413;26.869980010903145;25.499762830850962;23.797273966378917;22.262966077936643;21.770475039509158;22.055341176470588;23.436685469752966;25.065110222304902;26.693490318186242;27.39823250728863,80.92325469215864;80.58169484860431;80.10139560239678;77.72240774119948;76.10714856883057;76.59519951406385;74.14534814539317;70.8423858823522;70.14145594242234;72.79860571109502;71.60661671694105;75.13237427113606
Cancun	23.177553347816172;24.15794365505401;25.324426577559535;26.696326613864045;27.59221648695734;27.973358597054535;28.541823476488716;28.367688051318183;27.854661997905716;26.65109496759839;24.96504773242371;24.471798222569504,80.48531065311093;77.34737970314144;75.2761784548984;76.95846825196922;78.27015831292897;82.67722907847995;81.04172542007373;82.68315625403002;84.13469006967324;85.05571789243137;83.58783489007422;82.81067032436515
Chengdu	7.807566106929165;10.496824724809484;15.088846153846154;19.476956694477554;23.181678509698482;25.661504864006353;27.152737752161382;27.18728390318863;23.057783955520254;18.181241591389583;13.546918489065606;8.8332368268674,75.73804863925969;70.58383996613084;71.01630961538459;70.24834326579223;67.56095256385605;74.10620210442761;75.62758693563892;78.32123895505198;82.96687648927785;82.84443782433164;79.30203379721625;79.49253425979606
Chihuahua	10.972917454058527;14.97591291666808;18.672519601550505;22.252113648376437;26.21237357865265;29.06527529542418;27.4548175382765;26.410615246328028;24.667784802716312;21.255636604774537;16.219326853562535;11.922055411819596,41.46166749951613;32.72351570769039;27.41168428918421;22.909709139789918;21.57565524827154;29.805946333443266;43.605174353651336;48.50540710105577;49.49575892752609;44.35445755968168;42.16570049803195;43.30168966329243
Chongqing	7.903493534066783;10.372777307366638;14.883009428516452;19.264057222332603;22.24053794428434;25.233962264150943;28.658663081060315;29.186395080707147;23.762405716554188;18.28420242447566;13.52247414478918;8.961404862987264,78.97414977803629;73.99009949195646;72.01025976524889;72.2904768527715;74.1335235350624;77.00552730883936;71.23266999615849;67.43085318985453;78.64549821357706;83.76114681546991;81.12642601431934;81.18059243535272
Ciudad Juarez	9.396958994094048;13.320528997570127;17.69279024672369;21.671670885078292;26.095743625961276;31.021525959066878;30.81874179085795;29.916352828238075;27.17953205678587;21.723705073995774;15.326257018644561;10.144219450277035,44.126430392696875;37.3042711017531;31.7251379910479;25.329338580108775;23.2159325643111;26.67836517593004;35.96807583880923;38.5314302866866;40.23572653806369;39.132216569767515;40.12849338377879;45.060302667935
Ciudad Obregon	18.4884815055159;20.346027994583547;22.60114233671611;26.119166607874085;29.001482897429554;32.48572035995245;32.923413983362266;32.41552204807398;31.264663679015012;29.778392843455087;24.34852177523406;19.60902088041968,49.3739320907539;49.6228610374077;43.45998735796687;32.940721691854066;29.374738516203053;38.778256980430584;47.028389640119514;53.85415821235506;55.87166367328297;45.20450034267732;42.20725737419228;46.24546289017253
Darwin	28.016856411614157;28.249949300344756;28.378118821203277;28.25554900805343;26.854933437744712;25.541269682078028;24.960462229013466;25.725419207317074;27.742310725552052;29.132048468657572;29.4325689856199;28.966848234410218,82.13205277557138;81.1716031230997;79.75787873081737;71.92296208996306;60.36740407204398;58.41676361448209;59.94082609110891;60.15671208079272;64.59028194006306;67.99245396431657;71.29944325689951;77.15228587528301
FAIRBANKS INTL ARPT	-19.013976181329248;-15.948604294478514;-9.574253639712309;1.3045377218934913;11.705920256991671;16.30767870579381;17.622077182998392;13.857359580052519;7.653335723247911;-0.8337438171584542;-12.862831800262766;-16.372148491083703,78.05861313868587;78.25134202454005;71.2617400456057;58.27546597633169;51.707360166288524;59.57622836719363;68.15642183887607;76.4160682414701;76.40899982075663;78.69548012962626;82.14945795006506;79.30841049382673
Guilin	9.588768815129294;11.867061812023708;15.157277446644876;19.774930472785062;24.26416906820365;26.754919499105547;28.167915465898176;28.21303595462411;26.49831248759182;21.074971164936564;15.855666003976143;10.68507433867542,77.17666730991938;76.75841447925471;84.77713708902111;82.4139411998414;83.00881652257517;84.6616438083887;81.0273852065323;79.89491443953057;76.8706352987892;74.95904652056866;78.62762624254498;74.93324386947303
Harbin	-17.615399459668083;-12.091871295512277;-1.0693107431651907;8.376713689648321;15.860710854947166;20.622319301032565;24.330388013830195;21.548914088026137;15.655617308455737;6.2682832948421865;-5.624229162522379;-14.825835103301795,72.19441721343121;67.6857705334461;59.763685021178546;46.18211206040144;54.79399999999998;69.14775814138181;76.73259124087618;80.93234287910833;75.40193330686755;60.86832371054664;69.84950467475676;73.05348329793398
Hefei	3.666988416988417;6.680990685859441;11.764105526670518;17.09596662030598;22.275696445725263;25.633439237490073;28.13797079169869;27.965205690119184;23.645026801667658;17.154793993068925;11.501393866985264;5.632046332046332,75.35942277992274;71.61032387806961;69.69312150972483;69.29833498907215;71.5086762728148;77.79693804606869;82.03365872405818;82.31963475586335;77.50662497518414;75.44263765883738;73.40490242931132;70.47858880308914
Hermosillo	17.490095867756928;20.144747615868276;22.679612102739377;25.982887605066495;27.72784782856681;33.14511758282731;33.444608011305746;33.043510616091105;30.909277337480294;27.858789999101372;22.363383653022474;17.437129208198066,49.04599171716073;41.76006055615719;36.11961186982862;27.254249043880563;28.19213776219606;32.591761228960316;49.11360787390937;55.33265522015073;58.391199186063815;44.59561817350031;42.91393819696543;49.73856692605105
